erp_invoice_id;reference_id;created;fulfillment_rate
VP18/000260;ES36555-668343;2018.02.06 15:49;in stock
VP18/000270;ES36555-356271;2018.02.07 0:49;partially fulfilled
VP18/000287;ES36555-529254;2018.02.09 10:39;in stock
VP18/000288;ES36555-366170;2018.02.09 13:55;in stock
VP18/000289;ES36555-766251;2018.02.09 15:27;all out of stock
VP18/000292;ES36555-355318;2018.02.09 22:22;all out of stock
VP18/000299;ES36555-834507;2018.02.11 13:05;in stock
VP18/000302;ES36555-288780;2018.02.11 20:24;in stock
VP18/000305;ES36555-593608;2018.02.11 22:36;all out of stock
VR18/000060;RO36555-724693;2018.02.04 9:38;all out of stock
VR18/000061;RO36555-432700;2018.02.05 14:37;partially fulfilled
VR18/000065;RO36555-800826;2018.02.08 14:54;partially fulfilled
VZ18/000033;BB151766742053.26;2018.02.03 15:17;in stock
VZ18/000035;BB151793302858.88;2018.02.06 17:03;in stock
VZ18/000037;BB151801084996.94;2018.02.07 14:40;partially fulfilled
VZ18/000039;BB151808023778.47;2018.02.08 9:57;in stock
VZ18/000040;BB151808030742.27;2018.02.08 9:58;in stock
VZ18/000041;BB151810889457.36;2018.02.08 17:54;in stock
VZ18/000042;BB151811117878.61;2018.02.08 18:32;all out of stock
