erp_invoice_id;reference_id;created;fulfillment_rate
VO18/009414;EO436189;2018.02.05 15:02;in stock
VO18/009415;EO436205;2018.02.05 15:51;in stock
VO18/009426;, SO-330149;2018.02.05 0:00;partially fulfilled
VO18/009436;EO436237;2018.02.05 17:46;all out of stock
VO18/009440;EO436015;2018.02.05 0:00;in stock
VO18/009445;EO436207;2018.02.05 15:54;partially fulfilled
VO18/009512;EO436301;2018.02.05 20:48;in stock
VO18/009529;EO436326;2018.02.05 21:39;partially fulfilled
VO18/009549;EO436356;2018.02.06 0:03;all out of stock
VO18/009578;EO436249;2018.02.05 18:20;in stock
VO18/009580;EO436253;2018.02.05 18:29;partially fulfilled
VO18/009585;EO436261;2018.02.05 18:47;all out of stock
VO18/009589;EO436273;2018.02.05 19:22;in stock
VO18/009591;EO436288;2018.02.05 20:08;in stock
VO18/009600;EO436325;2018.02.05 21:36;in stock
VO18/009601;EO436327;2018.02.05 21:40;partially fulfilled
VO18/009606/1;EO436350, SO-330367;2018.02.07 0:00;in stock
VO18/009611;EO436378;2018.02.06 8:11;in stock
VO18/009617;, SO-330377;2018.02.06 0:00;all out of stock
VO18/009623;EO436409;2018.02.06 9:31;in stock
VO18/009624;EO436412;2018.02.06 9:38;in stock
VO18/009627;EO436419;2018.02.06 9:51;in stock
VO18/009628;EO436423;2018.02.06 10:01;in stock
VO18/009630;EO436426;2018.02.06 10:16;in stock
VO18/009659;VO18/009659;2018.02.06 0:00;in stock
VO18/009686;EO436448;2018.02.06 11:32;partially fulfilled
VO18/009688;EO436451;2018.02.06 11:37;all out of stock
VO18/009703;EO436464;2018.02.06 12:07;in stock
VO18/009704/2;, SO-330468;2018.02.06 0:00;all out of stock
VO18/009709;EO436472;2018.02.06 12:36;in stock
VO18/009713;, SO-330478;2018.02.06 0:00;in stock
VO18/009716/1;, SO-330481;2018.02.06 0:00;in stock
VO18/009717;, SO-330482;2018.02.06 0:00;in stock
VO18/009720;EO436480;2018.02.06 13:19;in stock
VO18/009723;EO436493;2018.02.06 13:58;partially fulfilled
VO18/009729;EO436465;2018.02.06 12:09;partially fulfilled
VO18/009754;, SO-330491;2018.02.06 0:00;in stock
VO18/009758;EO436506;2018.02.06 14:45;all out of stock
VO18/009772;EO436522;2018.02.06 15:29;in stock
VO18/009773;EO436524;2018.02.06 15:30;in stock
VO18/009774;EO436523;2018.02.06 15:29;in stock
VO18/009782;EO436531;2018.02.06 15:57;in stock
VO18/009788;, SO-330553;2018.02.06 0:00;all out of stock
VO18/009793;EO436545;2018.02.06 16:48;in stock
VO18/009798;EO436567;2018.02.06 18:55;partially fulfilled
VO18/009799;EO436569;2018.02.06 18:57;in stock
VO18/009802;EO436581;2018.02.06 19:54;in stock
VO18/009804;EO436588;2018.02.06 20:11;in stock
VO18/009809;EO436611;2018.02.06 21:19;in stock
VO18/009812;EO436618;2018.02.06 21:41;in stock
VO18/009820;EO436667;2018.02.07 6:26;in stock
VO18/009822;EO436670;2018.02.07 7:00;in stock
VO18/009824;EO436675;2018.02.07 7:59;in stock
VO18/009827;EO436685;2018.02.07 8:28;partially fulfilled
VO18/009866;EO436579;2018.02.06 19:51;partially fulfilled
VO18/009898;EO436623;2018.02.06 21:52;partially fulfilled
VO18/009902;EO436627;2018.02.06 22:10;partially fulfilled
VO18/009913;EO436643;2018.02.06 23:10;partially fulfilled
VO18/009933;EO436665;2018.02.07 5:46;in stock
VO18/009937;EO436672;2018.02.07 7:01;in stock
VO18/009951;VO18/009951;2018.02.07 0:00;partially fulfilled
VO18/009960;EO436719;2018.02.07 9:48;in stock
VO18/009962;EO436721;2018.02.07 9:50;in stock
VO18/009963;EO436731;2018.02.07 10:13;all out of stock
VO18/009965;EO436735;2018.02.07 10:21;in stock
VO18/009967;EO436738;2018.02.07 10:22;in stock
VO18/009971/1;VO18/009971, SO-330733;2018.02.07 0:00;in stock
VO18/009973;EO436748;2018.02.07 10:53;in stock
VO18/010026;EO436760;2018.02.07 11:15;in stock
VO18/010027;, SO-330787;2018.02.07 0:00;in stock
VO18/010029;EO436762;2018.02.07 11:21;partially fulfilled
VO18/010041;VO18/010041;2018.02.07 0:00;all out of stock
VO18/010042;VO18/010042;2018.02.07 0:00;in stock
VO18/010047;EO436773;2018.02.07 11:43;in stock
VO18/010048;EO436774;2018.02.07 11:46;in stock
VO18/010050;EO436781;2018.02.07 12:26;in stock
VO18/010055;, SO-330817;2018.02.07 0:00;in stock
VO18/010067;EO436790;2018.02.07 12:52;partially fulfilled
VO18/010080/2;, SO-330846;2018.02.07 0:00;all out of stock
VO18/010087;, SO-330853;2018.02.07 0:00;in stock
VO18/010104;EO436821;2018.02.07 14:39;partially fulfilled
VO18/010114;, SO-330882;2018.02.07 0:00;in stock
VO18/010115;EO436824;2018.02.07 14:44;in stock
VO18/010119;EO436833;2018.02.07 15:19;all out of stock
VO18/010130;EO436849;2018.02.07 16:24;in stock
VO18/010132;VO18/010132;2018.02.07 0:00;in stock
VO18/010134;, SO-330900;2018.02.07 0:00;partially fulfilled
VO18/010139/2;, SO-330907;2018.02.07 0:00;all out of stock
VO18/010148/2;, SO-330916;2018.02.07 0:00;partially fulfilled
VO18/010153;EO436847;2018.02.07 16:20;partially fulfilled
VO18/010195;EO436903;2018.02.07 18:38;all out of stock
VO18/010198;EO436907;2018.02.07 19:06;all out of stock
VO18/010205;EO436914;2018.02.07 19:30;all out of stock
VO18/010216;EO436927;2018.02.07 20:07;all out of stock
VO18/010230;EO436942;2018.02.07 20:59;partially fulfilled
VO18/010235;EO436947;2018.02.07 21:11;in stock
VO18/010248;EO436963;2018.02.07 21:58;partially fulfilled
VO18/010260;EO436978;2018.02.07 23:31;partially fulfilled
VO18/010261;EO436980;2018.02.07 23:45;partially fulfilled
VO18/010271;EO436995;2018.02.08 6:13;partially fulfilled
VO18/010286;EO436855;2018.02.07 16:39;all out of stock
VO18/010290;EO436869;2018.02.07 17:08;in stock
VO18/010292;EO436890;2018.02.07 18:17;all out of stock
VO18/010295;EO436901;2018.02.07 18:34;in stock
VO18/010296;EO436905;2018.02.07 18:48;in stock
VO18/010297;EO436920;2018.02.07 19:53;in stock
VO18/010298;EO436925;2018.02.07 19:59;in stock
VO18/010302;EO436961;2018.02.07 21:54;partially fulfilled
VO18/010318;EO437025;2018.02.08 9:28;in stock
VO18/010320/2;EO437036;2018.02.08 0:00;in stock
VO18/010321;EO437041;2018.02.08 10:12;partially fulfilled
VO18/010323;EO437019;2018.02.08 9:02;partially fulfilled
VO18/010346;EO437046;2018.02.08 10:17;all out of stock
VO18/010354;EO437055;2018.02.08 10:46;all out of stock
VO18/010355;EO437057;2018.02.08 10:52;all out of stock
VO18/010357;, SO-331125;2018.02.08 0:00;all out of stock
VO18/010358;EO436161;2018.02.08 0:00;in stock
VO18/010360;EO437063;2018.02.08 11:08;in stock
VO18/010362;EO437068;2018.02.08 11:24;partially fulfilled
VO18/010364;EO437074;2018.02.08 11:35;in stock
VO18/010371;EO437083;2018.02.08 12:00;in stock
VO18/010378;EO434318;2018.02.08 0:00;all out of stock
VO18/010400;EO437092;2018.02.08 12:21;in stock
VO18/010405;EO437097;2018.02.08 12:46;in stock
VO18/010406;EO437098;2018.02.08 12:56;in stock
VO18/010412;EO437105;2018.02.08 13:19;in stock
